Region/State/Union Territory,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Goa,797,995,"1,300","1,587","1,810","2,100","2,531",3159,"3,549",4176,"4,792","5,672","6,372","7,224","8,596","9,443","10,590","11,450","12,589","14,493","17,272","19,467"
Gujarat,"6,839","9,924","14,361","19,934","24,931","22,665","24,388",29533,"33,939",43287,"52,763","62,512","79,709","94,398","1,19,863","1,41,871","1,70,900","1,95,114","2,44,204","2,75,083","3,62,397","3,98,553"
Maharashtra,"29,291","45,697","64,749","84,211","83,406","1,10,733","96,304",121315,"1,35,827",148620,"1,81,292","2,01,332","2,41,614","2,95,236","3,38,207","3,85,523","4,70,361","5,25,366","6,14,166","7,55,848","10,18,853","11,60,992"
SOUTHERN REGION,"66,841","92,365","1,23,555","1,52,057","1,85,709","2,07,953","2,16,876","2,53,956","2,91,152","3,53,093","3,86,991","4,39,937","5,02,670","5,79,725","6,85,964","7,84,311","9,15,142","10,36,530","11,78,551","14,00,557","17,77,705","20,22,850"
Andhra Pradesh,"15,692","23,165","28,868","37,119","45,644","53,016","57,603","70,568","77,925","91,663","1,06,345","51,643","61,794","72,096","87,760","1,05,859","1,24,296","1,46,843","1,73,182","2,10,339","2,52,088","2,90,337"
Karnataka,"17,526","25,886","37,374","45,696","51,108","54,677","55,050","61,272","71,778","86,422","99,344","1,20,910","1,42,670","1,66,395","1,94,521","2,15,308","2,48,512","2,73,734","3,08,639","3,64,206","4,78,712","5,33,675"
Kerala,"11,004","14,932","19,356","23,738","28,150","34,481","39,269","44,679","50,287","61,379","66,256","67,691","77,643","91,075","1,02,570","1,17,539","1,32,779","1,48,016","1,60,399","1,84,201","2,24,306","2,47,348"
Lakshadweep,6,9,14,17,19,22,23,30,32,41,35,40,43,46,41,53,60,62,77,93,107,122
Puducherry,322,452,610,808,800,"1,184","1,308","1,567","1,911","2,515","2,804","2,969","3,317","3,732","4,306","4,595","5,233","5,906","6,570","7,511","9,138","10,330"
Tamil Nadu,"22,291","27,921","37,334","44,678","59,988","64,573","63,623","75,841","89,219","1,11,073","1,12,207","1,28,012","1,37,680","1,56,175","1,84,515","2,03,821","2,34,074","2,60,647","2,87,532","3,41,183","4,25,254","5,03,837"
Telangana,0,0,0,0,0,0,0,0,0,0,0,"68,671","79,522","90,206","1,12,250","1,37,137","1,70,189","2,01,322","2,42,151","2,93,026","3,88,100","4,37,202"
ALL INDIA,"1,79,087","2,55,981","3,53,225","4,33,562","4,85,416","5,53,546","5,58,895","6,70,135","7,50,151","8,71,291","10,17,100","11,43,986","13,39,138","15,61,924","18,64,885","21,36,648","25,30,090","28,73,641","33,45,818","40,00,056","51,44,286","58,22,227"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
